Finding ID,Area,Observation,Risk Rating,Reasoning,Recommendation
F-01,Device Lock & Encryption,Windows 11 Laptop has a weak PIN and BitLocker disk encryption is disabled,High,Physical theft of the laptop exposes all stored code and session cookies,Enable BitLocker full-disk encryption and enforce a strong alphanumeric password
F-02,2FA Coverage,GitHub uses SMS for 2FA rather than a TOTP app,Medium,SMS is vulnerable to SIM-swapping attacks,Migrate to a TOTP Authenticator app (e.g. Aegis or Authy)
F-03,Password Reuse,Same password used for local bank and personal Gmail account,High,A credential breach in one service compromises critical financial data,Generate unique random passwords for both using a password manager
F-04,Browser Extensions,Chrome has 12 active extensions including an unverified JSON formatter,High,Unverified extensions can read browser data and steal session tokens,Remove the extension and limit to verified publishers
F-05,Backups,Phone cloud backup is enabled but End-to-End Encryption is off,Medium,Cloud provider holds the encryption keys leaving backups vulnerable to server-side breaches,Enable Advanced Data Protection / End-to-End Encryption in backup settings
F-06,Mobile App Permissions,A free PDF scanner app has access to Location and Contacts,High,Over-privileged mobile apps can harvest and sell personal data,Revoke unnecessary permissions and find an open-source alternative
F-07,2FA Coverage,PayPal has no 2FA enabled,High,Credentials alone grant access to financial funds,Enable TOTP 2FA immediately
F-08,Password Reuse,Target and local food delivery app share a password,Medium,Retail breaches can lead to fraudulent purchases,Change passwords to unique strings generated by Bitwarden
F-09,2FA Coverage,MongoDB Atlas and Firebase have TOTP 2FA enabled,Low,Strong authentication is enforced for database access,Maintain current security posture and store backup codes securely
F-10,Backups,Project source code is pushed to GitHub but no local offline backup exists,Medium,Account lockout or cloud outage could result in lost work,Implement a weekly automated local backup to an encrypted external drive
F-11,Browser Extensions,Firefox has strict tracking protection enabled and minimal extensions,Low,Reduces fingerprinting and malicious script execution,Maintain current browser configuration
F-12,Device Lock & Encryption,iPhone requires FaceID and a 6-digit alphanumeric passcode,Low,Device is highly resistant to unauthorized physical access,Maintain current lock settings
F-13,Password Reuse,University student portal shares a password with a gaming forum,High,Forums are frequent targets for data breaches which could compromise academic records,Change university password immediately
F-14,App Permissions,Social media app has continuous background location access,Medium,Allows constant tracking of physical movements,Change permission to 'Only While Using the App'
F-15,2FA Coverage,LinkedIn uses email-based verification codes instead of TOTP,Medium,Email interception compromises the account,Switch to an authenticator app in security settings
F-16, Breach Exposure, Account A and Account B checked against public databases with 0 known breaches found., Low, No current credential exposure detected., Continue monitoring and maintain unique passwords.
